10,12,0,0,12,14,86,117,,,,,,,,
11,20,10,0,30,228,13,"1,256",,,,,,,,
211,51,10,3,64,293,22,"2,249",,,,,,,,
12,122,58,10,190,652,29,"4,130",,,,,,,,
13,31,24,3,58,261,22,"1,539",,,,,,,,
131,44,37,0,81,396,20,"2,473",,,,,,,,
231,44,27,6,77,719,11,"4,531",,,,,,,,
14,102,27,7,136,"1,285",11,"9,140",,,,,,,,
214,44,17,3,64,496,13,"3,168",,,,,,,,
15,31,13,4,48,"1,045",5,"7,615",,,,,,,,
16,37,38,9,84,755,11,"4,873",,,,,,,,
161,24,10,0,34,335,10,"2,140",,,,,,,,
17,16,7,3,26,454,6,"2,938",,,,,,,,
171,17,13,0,30,559,5,"3,756",,,,,,,,
18,44,20,0,64,"1,159",6,"7,472",,,,,,,,
181,20,7,3,30,243,12,"1,414",,,,,,,,
19,21,0,0,21,209,10,"1,388",,,,,,,,
191,0,0,0,0,63,0,666,,,,,,,,
20,16,4,0,20,108,19,972,,,,,,,,
21,47,28,0,75,480,16,"3,573",,,,,,,,
22,40,13,0,53,420,13,"2,942",,,,,,,,
23,100,25,0,125,487,26,"3,166",,,,,,,,
24,53,26,0,79,507,16,"3,478",,,,,,,,
25,20,10,0,30,349,9,"2,217",,,,,,,,
26,13,10,0,23,412,6,"2,577",,,,,,,,
27,30,0,0,30,465,6,"2,662",,,,,,,,
28,60,13,0,73,"1,219",6,"8,947",,,,,,,,
29,9,2,0,11,30,37,279,,,,,,,,
30,10,0,0,10,159,6,"1,006",,,,,,,,
31,31,6,0,37,234,16,"1,512",,,,,,,,
32,17,10,0,27,261,10,"1,759",,,,,,,,
33,35,25,0,60,599,10,"3,950",,,,,,,,
34,17,7,0,24,382,6,"2,592",,,,,,,,
35,7,0,0,7,285,2,"1,854",,,,,,,,
36,10,17,3,30,561,5,"3,593",,,,,,,,
361,0,0,0,0,92,0,537,,,,,,,,
37,31,13,3,47,853,6,"5,172",,,,,,,,
371,16,7,0,23,457,5,"2,810",,,,,,,,
38,13,7,0,20,393,5,"2,808",,,,,,,,
39,10,2,0,12,79,15,837,,,,,,,,
391,3,10,0,13,37,35,272,,,,,,,,
40,30,0,0,30,83,36,868,,,,,,,,
41,0,6,0,6,334,2,"2,220",,,,,,,,
411,7,6,0,13,144,9,973,,,,,,,,
42,58,24,7,89,940,9,"6,766",,,,,,,,
421,78,96,7,181,"1,074",17,"7,758",,,,,,,,
43,81,3,7,91,865,11,"5,857",,,,,,,,
44,20,9,0,29,346,8,"2,564",,,,,,,,
444,6,10,0,16,368,4,"2,329",,,,,,,,
,,,,,,,37,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for All Archery Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
45,20,13,0,33,565,6,"3,929",,,,,,,,
46,11,3,0,14,57,25,430,,,,,,,,
461,8,0,0,8,40,20,354,,,,,,,,
47,17,10,0,27,209,13,"1,416",,,,,,,,
471,16,3,3,22,175,13,"1,269",,,,,,,,
48,14,0,0,14,95,15,738,,,,,,,,
481,7,0,0,7,93,8,842,,,,,,,,
49,57,4,0,61,161,38,"1,772",,,,,,,,
50,11,0,0,11,97,11,950,,,,,,,,
500,13,9,0,22,136,16,"1,347",,,,,,,,
501,9,3,0,12,74,16,887,,,,,,,,
51,11,2,2,15,82,18,778,,,,,,,,
511,7,0,0,7,852,1,"6,551",,,,,,,,
52,17,10,0,27,460,6,"3,469",,,,,,,,
521,65,34,0,99,956,10,"7,230",,,,,,,,
53,61,27,10,98,779,13,"5,855",,,,,,,,
54,34,12,0,46,319,14,"2,530",,,,,,,,
55,41,13,5,59,590,10,"4,660",,,,,,,,
551,16,3,0,19,195,10,"1,659",,,,,,,,
56,6,3,0,9,90,10,929,,,,,,,,
561,1,0,0,1,65,2,653,,,,,,,,
57,5,6,0,11,82,13,728,,,,,,,,
58,16,4,4,24,93,26,944,,,,,,,,
581,20,3,0,23,458,5,"2,870",,,,,,,,
59,7,0,3,10,282,4,"1,757",,,,,,,,
591,7,0,0,7,124,6,830,,,,,,,,
60,3,0,0,3,64,5,487,,,,,,,,
61,33,2,0,35,83,42,"1,178",,,,,,,,
62,157,75,10,242,"1,799",13,"14,919",,,,,,,,
63,7,13,3,23,265,9,"2,038",,,,,,,,
64,3,0,0,3,153,2,"1,044",,,,,,,,
65,75,20,3,98,802,12,"5,792",,,,,,,,
66,36,3,0,39,162,24,"1,363",,,,,,,,
67,15,3,0,18,62,29,596,,,,,,,,
68,20,0,0,20,328,6,"2,561",,,,,,,,
681,20,0,0,20,344,6,"2,777",,,,,,,,
682,0,0,0,0,3,0,7,,,,,,,,
69,4,2,0,6,69,9,706,,,,,,,,
691,0,0,0,0,28,0,223,,,,,,,,
70,82,31,0,113,752,15,"5,035",,,,,,,,
71,61,37,0,98,"1,049",9,"8,140",,,,,,,,
711,38,10,0,48,306,16,"2,723",,,,,,,,
72,13,0,0,13,173,8,"1,432",,,,,,,,
73,24,10,0,34,327,10,"2,597",,,,,,,,
74,79,34,3,116,853,14,"5,994",,,,,,,,
741,3,10,0,13,75,17,574,,,,,,,,
75,27,3,0,30,508,6,"3,394",,,,,,,,
751,31,6,0,37,364,10,"2,656",,,,,,,,
76,55,0,0,55,153,36,"1,441",,,,,,,,
77,24,21,3,48,632,8,"4,365",,,,,,,,
771,3,0,0,3,99,3,713,,,,,,,,
78,79,37,0,116,926,13,"6,818",,,,,,,,
79,7,0,0,7,158,4,919,,,,,,,,
791,0,0,0,0,7,0,32,,,,,,,,
80,61,41,6,108,"1,031",10,"7,890",,,,,,,,
81,85,58,0,143,"1,392",10,"10,065",,,,,,,,
,,,,,,,38,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for All Archery Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
82,37,7,0,44,464,9,"2,713",,,,,,,,
83,17,14,0,31,268,12,"1,877",,,,,,,,
84,18,0,0,18,109,17,929,,,,,,,,
85,61,24,0,85,870,10,"6,181",,,,,,,,
851,19,0,0,19,113,17,"1,060",,,,,,,,
86,23,24,0,47,633,7,"4,740",,,,,,,,
861,17,7,0,24,169,14,"1,078",,,,,,,,
87,0,0,0,0,3,0,31,,,,,,,,
88,0,0,0,0,14,0,58,,,,,,,,
94,0,0,0,0,3,0,74,,,,,,,,
95,0,0,0,0,3,0,13,,,,,,,,
951,0,0,0,0,3,0,34,,,,,,,,
96,0,0,0,0,3,0,23,,,,,,,,
103,0,0,0,0,3,0,33,,,,,,,,
104,0,0,0,0,8,0,90,,,,,,,,
105,0,0,0,0,3,0,10,,,,,,,,
106,0,0,0,0,3,0,21,,,,,,,,
110,0,0,0,0,3,0,10,,,,,,,,
112,0,0,0,0,3,0,24,,,,,,,,
113,0,0,0,0,3,0,7,,,,,,,,
116,0,0,0,0,7,0,55,,,,,,,,
117,0,0,0,0,3,0,17,,,,,,,,
119,0,0,0,0,3,0,13,,,,,,,,
121,0,0,0,0,3,0,17,,,,,,,,
124,0,0,0,0,3,0,13,,,,,,,,
125,0,0,0,0,3,0,27,,,,,,,,
126,0,0,0,0,3,0,24,,,,,,,,
128,0,0,0,0,17,0,115,,,,,,,,
132,0,0,0,0,3,0,21,,,,,,,,
133,0,0,0,0,7,0,27,,,,,,,,
134,3,0,0,3,17,18,112,,,,,,,,
135,0,0,0,0,3,0,50,,,,,,,,
136,0,0,0,0,3,0,24,,,,,,,,
140,17,3,0,20,157,13,"1,071",,,,,,,,
141,0,0,0,0,21,0,140,,,,,,,,
142,3,0,0,3,33,9,140,,,,,,,,
146,0,0,0,0,7,0,34,,,,,,,,
Total,"3,483","1,481",152,"5,116","47,721",11,"342,074",,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for All Muzzleloader Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
1,1,0,0,1,8,13,49,,,,,,,,
2,7,3,0,10,12,83,51,,,,,,,,
201,10,4,0,14,15,93,68,,,,,,,,
3,4,0,0,4,15,27,53,,,,,,,,
301,0,0,0,0,8,0,16,,,,,,,,
4,15,44,2,61,169,36,849,,,,,,,,
441,2,4,1,7,64,11,272,,,,,,,,
5,9,11,0,20,67,30,352,,,,,,,,
6,0,0,0,0,209,0,"1,188",,,,,,,,
7,43,8,0,51,330,15,"1,776",,,,,,,,
8,3,15,0,18,229,8,"1,208",,,,,,,,
,,,,,,,39,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for All Muzzleloader Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
9,6,0,0,6,19,32,136,,,,,,,,
10,1,4,0,5,8,63,35,,,,,,,,
11,8,0,0,8,54,15,291,,,,,,,,
211,9,2,0,11,49,22,226,,,,,,,,
12,28,23,5,56,175,32,878,,,,,,,,
13,6,11,0,17,49,35,197,,,,,,,,
131,5,5,0,10,40,25,180,,,,,,,,
231,3,10,0,13,86,15,461,,,,,,,,
14,31,14,0,45,220,20,"1,169",,,,,,,,
214,26,11,0,37,127,29,521,,,,,,,,
15,12,7,0,19,275,7,"1,479",,,,,,,,
16,3,0,0,3,83,4,449,,,,,,,,
161,12,2,0,14,84,17,549,,,,,,,,
17,0,5,0,5,49,10,275,,,,,,,,
171,0,8,0,8,80,10,405,,,,,,,,
18,20,6,0,26,410,6,"2,214",,,,,,,,
181,13,0,0,13,124,10,488,,,,,,,,
19,16,0,0,16,84,19,450,,,,,,,,
191,6,0,0,6,38,16,182,,,,,,,,
20,6,3,0,9,45,20,230,,,,,,,,
21,13,8,0,21,98,21,485,,,,,,,,
22,13,6,4,23,99,23,472,,,,,,,,
23,12,7,0,19,97,20,483,,,,,,,,
24,6,10,0,16,87,18,470,,,,,,,,
25,6,0,0,6,132,5,755,,,,,,,,
26,0,3,0,3,44,7,166,,,,,,,,
27,22,8,0,30,112,27,456,,,,,,,,
28,32,30,0,62,333,19,"1,805",,,,,,,,
29,11,7,2,20,60,33,295,,,,,,,,
30,0,2,0,2,22,9,87,,,,,,,,
31,19,4,0,23,52,44,229,,,,,,,,
32,5,0,0,5,38,13,183,,,,,,,,
33,10,12,2,24,105,23,584,,,,,,,,
34,3,0,0,3,80,4,433,,,,,,,,
35,2,5,0,7,143,5,734,,,,,,,,
36,8,7,0,15,158,9,744,,,,,,,,
361,2,0,0,2,39,5,178,,,,,,,,
37,10,13,0,23,164,14,710,,,,,,,,
371,0,0,0,0,61,0,301,,,,,,,,
38,5,0,0,5,60,8,299,,,,,,,,
39,23,0,0,23,112,21,538,,,,,,,,
391,3,2,0,5,14,36,50,,,,,,,,
40,25,8,0,33,71,46,333,,,,,,,,
41,19,11,0,30,370,8,"2,005",,,,,,,,
411,0,0,0,0,7,0,43,,,,,,,,
42,19,21,0,40,303,13,"1,691",,,,,,,,
421,19,25,0,44,325,14,"1,662",,,,,,,,
43,26,6,0,32,169,19,881,,,,,,,,
44,32,3,3,38,199,19,"1,061",,,,,,,,
444,27,10,0,37,122,30,603,,,,,,,,
45,3,0,0,3,112,3,548,,,,,,,,
46,6,0,0,6,42,14,235,,,,,,,,
461,4,0,0,4,14,29,59,,,,,,,,
47,3,0,0,3,74,4,320,,,,,,,,
471,0,0,0,0,18,0,38,,,,,,,,
48,9,2,0,11,61,18,360,,,,,,,,
,,,,,,,40,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for All Muzzleloader Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
481,7,4,2,13,60,22,302,,,,,,,,
49,15,5,1,21,118,18,622,,,,,,,,
50,0,0,0,0,70,0,412,,,,,,,,
500,13,0,0,13,108,12,575,,,,,,,,
501,6,3,0,9,67,13,326,,,,,,,,
51,6,1,0,7,63,11,324,,,,,,,,
511,3,0,0,3,91,3,507,,,,,,,,
52,13,5,0,18,119,15,608,,,,,,,,
521,43,15,5,63,300,21,"1,533",,,,,,,,
53,10,4,2,16,152,11,910,,,,,,,,
54,9,3,0,12,123,10,669,,,,,,,,
55,11,36,0,47,280,17,"1,519",,,,,,,,
551,7,11,3,21,125,17,739,,,,,,,,
56,12,1,0,13,53,25,287,,,,,,,,
561,5,0,0,5,49,10,299,,,,,,,,
57,10,7,5,22,83,27,441,,,,,,,,
58,16,5,0,21,86,24,444,,,,,,,,
581,3,0,0,3,44,7,188,,,,,,,,
59,5,3,0,8,53,15,249,,,,,,,,
591,0,0,0,0,7,0,19,,,,,,,,
60,0,0,0,0,17,0,88,,,,,,,,
61,25,17,2,44,79,56,396,,,,,,,,
62,20,10,0,30,178,17,977,,,,,,,,
63,9,13,0,22,83,27,457,,,,,,,,
64,18,0,0,18,68,26,306,,,,,,,,
65,7,8,3,18,117,15,651,,,,,,,,
66,10,7,4,21,62,34,343,,,,,,,,
67,7,5,0,12,69,17,361,,,,,,,,
68,6,6,0,12,123,10,674,,,,,,,,
681,3,2,0,5,82,6,460,,,,,,,,
682,0,0,0,0,3,0,15,,,,,,,,
69,14,2,0,16,42,38,217,,,,,,,,
691,0,0,0,0,2,0,4,,,,,,,,
70,26,24,3,53,263,20,"1,408",,,,,,,,
71,17,34,3,54,279,19,"1,474",,,,,,,,
711,3,10,0,13,76,17,327,,,,,,,,
72,4,0,0,4,28,14,123,,,,,,,,
73,3,0,0,3,42,7,275,,,,,,,,
74,14,11,2,27,112,24,608,,,,,,,,
741,0,0,0,0,2,0,22,,,,,,,,
75,11,10,0,21,81,26,421,,,,,,,,
751,4,3,0,7,48,15,260,,,,,,,,
76,32,4,2,38,81,47,414,,,,,,,,
77,10,7,0,17,118,14,657,,,,,,,,
771,0,0,0,0,14,0,79,,,,,,,,
78,8,8,0,16,79,20,431,,,,,,,,
79,2,0,0,2,35,6,204,,,,,,,,
80,16,14,0,30,164,18,857,,,,,,,,
81,10,16,0,26,125,21,670,,,,,,,,
82,26,0,0,26,91,29,433,,,,,,,,
83,3,2,0,5,52,10,297,,,,,,,,
84,12,0,0,12,65,18,348,,,,,,,,
85,13,3,2,18,195,9,"1,040",,,,,,,,
851,10,3,0,13,46,28,187,,,,,,,,
86,5,3,0,8,115,7,603,,,,,,,,
861,9,3,0,12,32,38,204,,,,,,,,
,,,,,,,41,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for All Muzzleloader Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
104,0,0,0,0,3,0,15,,,,,,,,
128,0,0,0,0,6,0,14,,,,,,,,
133,0,0,0,0,2,0,8,,,,,,,,
134,0,0,0,0,2,0,6,,,,,,,,
140,0,0,0,0,3,0,11,,,,,,,,
141,0,0,0,0,2,0,10,,,,,,,,
142,2,1,0,3,3,100,10,,,,,,,,
Total,"1,255",739,58,"2,052","12,362",17,"64,331",,,,,,,,
"2016 Elk Harvest, Hunters and Percent Success for All Muzzleloader Seasons",,,,,,,,,,,,,,,
,Antlered,Antlered,Antlered,Antlerless,,Antlerless,Antlerless,,,,,,,,
Unit,Harvest,Hunters,% Success,Harvest,,Hunters,% Success,,,,,,,,
1,1,3,33,,0,5,0,,,,,,,,
2,7,9,78,,3,3,100,,,,,,,,
201,10,10,100,,4,5,80,,,,,,,,
3,0,0,0,,0,7,0,,,,,,,,
301,0,0,0,,0,3,0,,,,,,,,
4,0,0,0,,23,76,30,,,,,,,,
441,0,0,0,,2,38,5,,,,,,,,
5,0,0,0,,8,28,29,,,,,,,,
6,0,0,0,,0,97,0,,,,,,,,
7,43,184,23,,8,146,5,,,,,,,,
8,3,86,3,,15,143,10,,,,,,,,
9,6,6,100,,0,13,0,,,,,,,,
10,1,3,33,,4,5,80,,,,,,,,
11,0,0,0,,0,24,0,,,,,,,,
211,0,0,0,,2,21,10,,,,,,,,
12,0,0,0,,26,83,31,,,,,,,,
13,0,0,0,,6,29,21,,,,,,,,
131,0,0,0,,0,20,0,,,,,,,,
231,0,0,0,,3,41,7,,,,,,,,
14,0,0,0,,10,35,29,,,,,,,,
214,0,0,0,,6,22,27,,,,,,,,
15,0,0,0,,0,73,0,,,,,,,,
16,0,0,0,,0,25,0,,,,,,,,
161,0,0,0,,2,28,7,,,,,,,,
17,0,0,0,,2,21,10,,,,,,,,
171,0,0,0,,5,34,15,,,,,,,,
18,0,0,0,,0,134,0,,,,,,,,
181,0,0,0,,0,36,0,,,,,,,,
19,16,56,29,,0,28,0,,,,,,,,
191,6,6,100,,0,32,0,,,,,,,,
20,6,32,19,,3,13,23,,,,,,,,
21,0,0,0,,0,34,0,,,,,,,,
22,0,0,0,,10,46,22,,,,,,,,
23,0,0,0,,4,42,10,,,,,,,,
24,0,0,0,,5,39,13,,,,,,,,
25,0,0,0,,0,69,0,,,,,,,,
26,0,0,0,,0,27,0,,,,,,,,
27,0,0,0,,2,24,8,,,,,,,,
28,0,0,0,,2,81,2,,,,,,,,
29,11,28,39,,9,32,28,,,,,,,,
30,0,0,0,,2,16,13,,,,,,,,
,,,,,,,42,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Percent Success for All Muzzleloader Seasons",,,,,,,,,,,,,,,
,Antlered,Antlered,Antlered,Antlerless,Antlerless,Antlerless,,,,,,,,,
Unit,Harvest,Hunters,% Success,Harvest,Hunters,% Success,,,,,,,,,
31,0,0,0,4,14,29,,,,,,,,,
32,0,0,0,0,16,0,,,,,,,,,
33,0,0,0,12,56,21,,,,,,,,,
34,0,0,0,0,41,0,,,,,,,,,
35,2,80,3,5,63,8,,,,,,,,,
36,8,67,12,7,91,8,,,,,,,,,
361,2,23,9,0,16,0,,,,,,,,,
37,0,0,0,7,52,13,,,,,,,,,
371,0,0,0,0,9,0,,,,,,,,,
38,5,30,17,0,30,0,,,,,,,,,
39,23,70,33,0,42,0,,,,,,,,,
391,3,8,38,2,6,33,,,,,,,,,
40,0,0,0,8,26,31,,,,,,,,,
41,19,139,14,11,231,5,,,,,,,,,
411,0,7,0,0,0,0,,,,,,,,,
42,19,143,13,21,160,13,,,,,,,,,
421,19,109,17,25,216,12,,,,,,,,,
43,26,139,19,6,30,20,,,,,,,,,
44,32,151,21,6,48,13,,,,,,,,,
444,27,91,30,10,31,32,,,,,,,,,
45,3,73,4,0,39,0,,,,,,,,,
46,6,29,21,0,13,0,,,,,,,,,
461,4,14,29,0,0,0,,,,,,,,,
47,3,59,5,0,15,0,,,,,,,,,
471,0,14,0,0,4,0,,,,,,,,,
48,9,32,28,2,29,7,,,,,,,,,
481,7,33,21,6,27,22,,,,,,,,,
49,15,64,23,6,54,11,,,,,,,,,
50,0,31,0,0,39,0,,,,,,,,,
500,13,49,27,0,59,0,,,,,,,,,
501,6,32,19,3,35,9,,,,,,,,,
51,6,27,22,1,36,3,,,,,,,,,
511,0,0,0,0,62,0,,,,,,,,,
52,13,78,17,5,41,12,,,,,,,,,
521,43,116,37,20,184,11,,,,,,,,,
53,10,74,14,6,78,8,,,,,,,,,
54,9,62,15,3,61,5,,,,,,,,,
55,11,110,10,36,170,21,,,,,,,,,
551,7,41,17,14,84,17,,,,,,,,,
56,12,27,44,1,26,4,,,,,,,,,
561,5,29,17,0,20,0,,,,,,,,,
57,10,46,22,12,37,32,,,,,,,,,
58,16,61,26,5,25,20,,,,,,,,,
581,0,0,0,0,24,0,,,,,,,,,
59,0,0,0,0,17,0,,,,,,,,,
591,0,0,0,0,4,0,,,,,,,,,
60,0,9,0,0,8,0,,,,,,,,,
61,25,39,64,19,40,48,,,,,,,,,
62,20,105,19,10,73,14,,,,,,,,,
63,9,32,28,13,51,25,,,,,,,,,
64,18,40,45,0,28,0,,,,,,,,,
65,7,61,11,11,56,20,,,,,,,,,
66,10,32,31,11,30,37,,,,,,,,,
67,7,32,22,5,37,14,,,,,,,,,
68,6,50,12,6,73,8,,,,,,,,,
681,3,29,10,2,53,4,,,,,,,,,
,,,,,,43,,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Percent Success for All Muzzleloader Seasons",,,,,,,,,,,,,,,
,Antlered,Antlered,Antlered,Antlerless,,Antlerless,Antlerless,,,,,,,,
Unit,Harvest,Hunters,% Success,Harvest,,Hunters,% Success,,,,,,,,
682,0,0,0,,0,3,0,,,,,,,,
69,14,29,48,,2,13,15,,,,,,,,
70,0,0,0,,11,102,11,,,,,,,,
71,0,0,0,,20,139,14,,,,,,,,
711,0,0,0,,3,40,8,,,,,,,,
72,0,0,0,,0,3,0,,,,,,,,
73,0,0,0,,0,21,0,,,,,,,,
74,0,0,0,,4,22,18,,,,,,,,
75,0,0,0,,3,22,14,,,,,,,,
751,0,0,0,,1,16,6,,,,,,,,
76,32,66,48,,6,15,40,,,,,,,,
77,0,0,0,,5,35,14,,,,,,,,
771,0,0,0,,0,3,0,,,,,,,,
78,0,0,0,,8,25,32,,,,,,,,
79,2,12,17,,0,23,0,,,,,,,,
80,16,56,29,,14,108,13,,,,,,,,
81,10,57,18,,16,68,24,,,,,,,,
82,0,0,0,,0,25,0,,,,,,,,
83,0,0,0,,0,8,0,,,,,,,,
84,12,40,30,,0,25,0,,,,,,,,
85,0,0,0,,2,100,2,,,,,,,,
851,3,5,60,,3,17,18,,,,,,,,
86,0,0,0,,3,58,5,,,,,,,,
861,0,0,0,,0,8,0,,,,,,,,
104,0,3,0,,0,0,0,,,,,,,,
Total,697,"3,278",21,588,,"5,387",11,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for 1 st Season Limited Antlered Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
3,83,0,0,83,182,46,530,,,,,,,,
301,18,0,0,18,55,33,240,,,,,,,,
4,165,0,0,165,537,31,"1,768",,,,,,,,
441,73,0,0,73,155,47,429,,,,,,,,
5,91,0,0,91,235,39,840,,,,,,,,
7,21,0,0,21,167,13,600,,,,,,,,
8,25,0,0,25,122,20,358,,,,,,,,
9,3,0,0,3,11,27,41,,,,,,,,
11,225,0,0,225,807,28,"3,032",,,,,,,,
211,36,0,0,36,172,21,616,,,,,,,,
12,325,0,0,325,"1,008",32,"3,641",,,,,,,,
13,54,0,0,54,145,37,497,,,,,,,,
131,0,0,0,0,46,0,165,,,,,,,,
231,36,0,0,36,246,15,944,,,,,,,,
14,45,0,0,45,115,39,472,,,,,,,,
214,9,0,0,9,54,17,181,,,,,,,,
19,18,0,0,18,97,19,398,,,,,,,,
191,9,0,0,9,35,26,132,,,,,,,,
20,13,0,0,13,19,68,67,,,,,,,,
21,62,0,0,62,265,23,915,,,,,,,,
22,38,0,0,38,199,19,765,,,,,,,,
23,145,0,0,145,635,23,"2,348",,,,,,,,
24,90,0,0,90,607,15,"2,218",,,,,,,,
,,,,,,,44,,,,,,,,
,,,,,,,,,,,,,,,
st,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for 1",,,,,Season Limited Antlered Seasons,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
25,46,0,0,46,164,28,583,,,,,,,,
26,27,0,0,27,128,21,417,,,,,,,,
29,2,0,0,2,10,20,37,,,,,,,,
30,0,0,0,0,52,0,135,,,,,,,,
31,64,0,0,64,130,49,427,,,,,,,,
32,26,0,0,26,66,39,234,,,,,,,,
33,37,0,0,37,357,10,"1,289",,,,,,,,
34,18,0,0,18,119,15,384,,,,,,,,
38,10,0,0,10,35,29,106,,,,,,,,
39,16,0,0,16,52,31,198,,,,,,,,
391,1,0,0,1,12,8,48,,,,,,,,
41,26,0,0,26,246,11,982,,,,,,,,
411,27,0,0,27,70,39,209,,,,,,,,
42,9,0,0,9,206,4,813,,,,,,,,
421,69,0,0,69,257,27,935,,,,,,,,
46,6,0,0,6,20,30,78,,,,,,,,
461,0,0,0,0,11,0,37,,,,,,,,
48,18,0,0,18,64,28,220,,,,,,,,
481,29,0,0,29,63,46,198,,,,,,,,
49,42,0,0,42,75,56,250,,,,,,,,
50,6,0,0,6,42,14,146,,,,,,,,
500,33,0,0,33,97,34,385,,,,,,,,
501,9,0,0,9,34,26,116,,,,,,,,
51,11,0,0,11,34,32,118,,,,,,,,
511,15,0,0,15,69,22,215,,,,,,,,
52,0,0,0,0,55,0,198,,,,,,,,
521,96,0,0,96,239,40,908,,,,,,,,
53,40,0,0,40,144,28,578,,,,,,,,
54,39,0,0,39,310,13,"1,313",,,,,,,,
55,41,0,0,41,262,16,"1,079",,,,,,,,
551,17,0,0,17,68,25,259,,,,,,,,
56,6,0,0,6,43,14,170,,,,,,,,
561,5,0,0,5,27,19,114,,,,,,,,
57,18,0,0,18,45,40,148,,,,,,,,
58,16,0,0,16,33,48,96,,,,,,,,
581,3,0,0,3,45,7,159,,,,,,,,
59,2,0,0,2,40,5,102,,,,,,,,
60,15,0,0,15,38,39,144,,,,,,,,
61,95,0,0,95,123,77,418,,,,,,,,
62,79,0,0,79,258,31,"1,031",,,,,,,,
63,9,0,0,9,59,15,264,,,,,,,,
66,77,0,0,77,265,29,"1,059",,,,,,,,
67,44,0,0,44,274,16,"1,148",,,,,,,,
68,42,0,0,42,266,16,"1,075",,,,,,,,
681,12,0,0,12,99,12,374,,,,,,,,
69,12,0,0,12,26,46,62,,,,,,,,
76,94,0,0,94,184,51,661,,,,,,,,
79,7,0,0,7,127,6,522,,,,,,,,
80,30,0,0,30,425,7,"1,668",,,,,,,,
81,57,0,0,57,368,15,"1,287",,,,,,,,
84,14,0,0,14,44,32,122,,,,,,,,
104,6,0,0,6,18,33,68,,,,,,,,
Total,"3,007",0,0,"3,007","12,212",25,"44,784",,,,,,,,
,,,,,,,45,,,,,,,,
,,,,,,,,,,,,,,,
nd,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for 2",,,,,Season Limited Antlered Seasons,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
7,76,0,0,76,393,19,"1,806",,,,,,,,
8,39,0,0,39,412,9,"1,736",,,,,,,,
9,10,0,0,10,20,50,75,,,,,,,,
19,38,0,0,38,282,13,"1,440",,,,,,,,
191,4,0,0,4,108,4,507,,,,,,,,
20,9,0,0,9,20,45,81,,,,,,,,
29,0,0,0,0,6,0,27,,,,,,,,
39,4,0,0,4,43,9,267,,,,,,,,
391,3,0,0,3,7,43,22,,,,,,,,
46,6,0,0,6,30,20,162,,,,,,,,
461,3,0,0,3,9,33,58,,,,,,,,
48,13,0,0,13,64,20,383,,,,,,,,
481,29,0,0,29,116,25,543,,,,,,,,
49,38,0,0,38,85,45,436,,,,,,,,
50,8,0,0,8,56,14,295,,,,,,,,
500,20,0,0,20,89,22,495,,,,,,,,
501,19,0,0,19,59,32,329,,,,,,,,
51,6,0,0,6,35,17,183,,,,,,,,
54,65,0,0,65,397,16,"2,340",,,,,,,,
56,11,0,0,11,46,24,219,,,,,,,,
561,2,0,0,2,22,9,133,,,,,,,,
